Date,Time,Level,Entry
2025-10-22,13:54:38,INFO,Logger initialized and ready.
2025-10-22,13:54:47,INPUT,User_Input_MenuChoice: 1
2025-10-22,13:54:47,INFO,Monitoring process started.
2025-10-22,13:54:48,STATUS,CPU: 5.5%, RAM: 75.8%
2025-10-22,13:54:51,INPUT,User_Input_MenuChoice: 2
2025-10-22,13:54:52,STATUS,CPU: 5.7%, RAM: 75.5%
2025-10-22,13:54:56,STATUS,CPU: 20.9%, RAM: 75.8%
2025-10-22,13:55:00,STATUS,CPU: 30.1%, RAM: 75.9%
2025-10-22,13:55:04,STATUS,CPU: 30.7%, RAM: 76.1%
2025-10-22,13:55:08,STATUS,CPU: 6.0%, RAM: 76.0%
2025-10-22,13:55:12,STATUS,CPU: 36.0%, RAM: 76.1%
2025-10-22,13:55:16,STATUS,CPU: 40.1%, RAM: 76.0%
2025-10-22,13:55:20,STATUS,CPU: 7.8%, RAM: 76.0%
2025-10-22,13:55:24,STATUS,CPU: 34.5%, RAM: 75.9%
2025-10-22,13:55:28,STATUS,CPU: 33.0%, RAM: 75.6%
2025-10-22,13:55:32,STATUS,CPU: 26.4%, RAM: 75.6%
2025-10-22,13:55:36,STATUS,CPU: 23.6%, RAM: 75.6%
2025-10-22,13:55:40,STATUS,CPU: 22.3%, RAM: 75.5%
2025-10-22,13:55:44,STATUS,CPU: 30.7%, RAM: 77.1%
2025-10-22,13:55:48,STATUS,CPU: 12.5%, RAM: 76.8%
2025-10-22,13:55:52,STATUS,CPU: 29.4%, RAM: 77.6%
2025-10-22,13:55:56,STATUS,CPU: 27.0%, RAM: 77.6%
2025-10-22,13:56:00,STATUS,CPU: 36.8%, RAM: 77.8%
2025-10-22,13:56:04,STATUS,CPU: 43.0%, RAM: 72.9%
2025-10-22,13:56:08,STATUS,CPU: 37.1%, RAM: 74.4%
2025-10-22,13:56:12,STATUS,CPU: 27.4%, RAM: 75.8%
2025-10-22,13:56:16,STATUS,CPU: 26.6%, RAM: 77.2%
2025-10-22,13:56:20,STATUS,CPU: 20.6%, RAM: 77.3%
2025-10-22,13:56:24,STATUS,CPU: 4.3%, RAM: 77.2%
2025-10-22,13:56:28,STATUS,CPU: 3.3%, RAM: 77.2%
2025-10-22,13:56:32,STATUS,CPU: 17.3%, RAM: 77.5%
2025-10-22,13:56:36,STATUS,CPU: 13.3%, RAM: 77.6%
2025-10-22,13:56:40,STATUS,CPU: 15.0%, RAM: 77.6%
2025-10-22,13:56:44,STATUS,CPU: 17.7%, RAM: 77.5%
2025-10-22,13:56:48,STATUS,CPU: 11.5%, RAM: 77.7%
2025-10-22,13:56:52,STATUS,CPU: 13.2%, RAM: 78.0%
2025-10-22,13:56:55,INPUT,User_Input_MenuChoice: 7
2025-10-22,13:56:55,INFO,Monitoring process stopped.
