Date,Time,Level,Entry
2025-10-22,09:46:30,INFO,Logger initialized and ready.
2025-10-22,09:46:32,INPUT,User_Input_MenuChoice: 1
2025-10-22,09:46:32,INFO,Monitoring process started.
2025-10-22,09:46:33,STATUS,CPU: 25.6%, RAM: 77.7%
2025-10-22,09:46:37,STATUS,CPU: 33.2%, RAM: 75.3%
2025-10-22,09:46:38,INPUT,User_Input_MenuChoice: 6
2025-10-22,09:46:41,STATUS,CPU: 26.2%, RAM: 75.0%
2025-10-22,09:46:43,INPUT,User_Input_LogLines: 40
2025-10-22,09:46:45,STATUS,CPU: 27.6%, RAM: 75.6%
2025-10-22,09:46:49,STATUS,CPU: 27.9%, RAM: 75.7%
2025-10-22,09:46:53,STATUS,CPU: 51.8%, RAM: 76.4%
2025-10-22,09:46:57,STATUS,CPU: 50.4%, RAM: 76.3%
2025-10-22,09:47:01,STATUS,CPU: 29.7%, RAM: 76.2%
2025-10-22,09:47:05,STATUS,CPU: 31.9%, RAM: 75.8%
2025-10-22,09:47:09,STATUS,CPU: 28.6%, RAM: 75.7%
2025-10-22,09:47:13,STATUS,CPU: 28.8%, RAM: 75.6%
2025-10-22,09:47:17,STATUS,CPU: 29.5%, RAM: 75.6%
2025-10-22,09:47:21,STATUS,CPU: 50.6%, RAM: 77.1%
2025-10-22,09:47:25,STATUS,CPU: 35.1%, RAM: 73.2%
2025-10-22,09:47:29,STATUS,CPU: 22.3%, RAM: 72.3%
2025-10-22,09:47:33,STATUS,CPU: 25.0%, RAM: 71.8%
2025-10-22,09:47:37,STATUS,CPU: 36.9%, RAM: 71.7%
2025-10-22,09:47:41,STATUS,CPU: 28.6%, RAM: 72.0%
2025-10-22,09:47:45,STATUS,CPU: 26.8%, RAM: 71.9%
2025-10-22,09:47:49,STATUS,CPU: 28.3%, RAM: 72.2%
2025-10-22,09:47:53,STATUS,CPU: 25.8%, RAM: 72.3%
2025-10-22,09:47:57,STATUS,CPU: 28.8%, RAM: 72.5%
2025-10-22,09:48:01,STATUS,CPU: 21.1%, RAM: 72.1%
2025-10-22,09:48:05,STATUS,CPU: 23.1%, RAM: 72.1%
2025-10-22,09:48:09,STATUS,CPU: 24.2%, RAM: 72.0%
2025-10-22,09:48:13,STATUS,CPU: 44.2%, RAM: 72.3%
2025-10-22,09:48:18,STATUS,CPU: 36.2%, RAM: 72.6%
2025-10-22,09:48:22,STATUS,CPU: 31.7%, RAM: 72.7%
2025-10-22,09:48:26,STATUS,CPU: 21.3%, RAM: 72.8%
2025-10-22,09:48:30,STATUS,CPU: 23.7%, RAM: 72.7%
2025-10-22,09:48:34,STATUS,CPU: 22.4%, RAM: 72.7%
2025-10-22,09:48:38,STATUS,CPU: 25.8%, RAM: 72.9%
2025-10-22,09:48:42,STATUS,CPU: 23.4%, RAM: 72.9%
2025-10-22,09:48:46,STATUS,CPU: 21.7%, RAM: 72.9%
2025-10-22,09:48:50,STATUS,CPU: 23.2%, RAM: 72.9%
2025-10-22,09:48:54,STATUS,CPU: 19.6%, RAM: 72.9%
2025-10-22,09:48:58,STATUS,CPU: 30.3%, RAM: 73.1%
2025-10-22,09:49:02,STATUS,CPU: 34.8%, RAM: 73.5%
2025-10-22,09:49:06,STATUS,CPU: 24.6%, RAM: 73.0%
2025-10-22,09:49:10,STATUS,CPU: 26.6%, RAM: 72.9%
2025-10-22,09:49:14,STATUS,CPU: 25.0%, RAM: 73.2%
2025-10-22,09:49:18,STATUS,CPU: 22.4%, RAM: 73.1%
2025-10-22,09:49:22,STATUS,CPU: 29.7%, RAM: 73.4%
2025-10-22,09:49:26,STATUS,CPU: 24.8%, RAM: 74.7%
2025-10-22,09:49:30,STATUS,CPU: 20.6%, RAM: 74.7%
2025-10-22,09:49:34,STATUS,CPU: 28.1%, RAM: 74.3%
2025-10-22,09:49:38,STATUS,CPU: 22.7%, RAM: 73.9%
2025-10-22,09:49:42,STATUS,CPU: 34.6%, RAM: 74.6%
2025-10-22,09:49:46,STATUS,CPU: 48.7%, RAM: 74.5%
2025-10-22,09:49:50,STATUS,CPU: 25.9%, RAM: 74.5%
2025-10-22,09:49:54,STATUS,CPU: 23.4%, RAM: 74.3%
2025-10-22,09:49:58,STATUS,CPU: 24.0%, RAM: 74.1%
2025-10-22,09:50:02,STATUS,CPU: 26.3%, RAM: 75.0%
2025-10-22,09:50:06,STATUS,CPU: 31.9%, RAM: 75.3%
2025-10-22,09:50:10,STATUS,CPU: 24.9%, RAM: 75.1%
2025-10-22,09:50:14,STATUS,CPU: 22.4%, RAM: 75.0%
2025-10-22,09:50:18,STATUS,CPU: 29.0%, RAM: 75.2%
2025-10-22,09:50:22,STATUS,CPU: 31.2%, RAM: 75.2%
2025-10-22,09:50:26,STATUS,CPU: 26.4%, RAM: 74.9%
2025-10-22,09:50:30,STATUS,CPU: 31.7%, RAM: 75.5%
2025-10-22,09:50:34,STATUS,CPU: 22.1%, RAM: 75.5%
2025-10-22,09:50:38,STATUS,CPU: 22.1%, RAM: 74.9%
2025-10-22,09:50:42,STATUS,CPU: 23.1%, RAM: 74.8%
2025-10-22,09:50:46,STATUS,CPU: 20.7%, RAM: 74.8%
2025-10-22,09:50:50,STATUS,CPU: 23.5%, RAM: 75.1%
2025-10-22,09:50:54,STATUS,CPU: 21.1%, RAM: 75.0%
2025-10-22,09:50:58,STATUS,CPU: 25.8%, RAM: 75.1%
2025-10-22,09:51:02,STATUS,CPU: 19.8%, RAM: 75.0%
2025-10-22,09:51:06,STATUS,CPU: 24.2%, RAM: 75.1%
2025-10-22,09:51:10,STATUS,CPU: 26.6%, RAM: 75.0%
2025-10-22,09:51:14,STATUS,CPU: 19.6%, RAM: 75.4%
2025-10-22,09:51:18,STATUS,CPU: 27.6%, RAM: 75.7%
2025-10-22,09:51:22,STATUS,CPU: 25.7%, RAM: 75.6%
2025-10-22,09:51:26,STATUS,CPU: 43.2%, RAM: 75.7%
2025-10-22,09:51:30,STATUS,CPU: 21.2%, RAM: 75.8%
2025-10-22,09:51:34,STATUS,CPU: 31.5%, RAM: 75.9%
2025-10-22,09:51:38,STATUS,CPU: 42.1%, RAM: 74.4%
2025-10-22,09:51:42,STATUS,CPU: 26.6%, RAM: 74.0%
2025-10-22,09:51:46,STATUS,CPU: 27.0%, RAM: 73.8%
2025-10-22,09:51:50,STATUS,CPU: 22.9%, RAM: 73.8%
2025-10-22,09:51:54,STATUS,CPU: 21.9%, RAM: 73.8%
2025-10-22,09:51:58,STATUS,CPU: 24.7%, RAM: 73.8%
2025-10-22,09:52:02,STATUS,CPU: 29.1%, RAM: 74.0%
2025-10-22,09:52:06,STATUS,CPU: 44.6%, RAM: 74.6%
2025-10-22,09:52:10,STATUS,CPU: 30.4%, RAM: 74.8%
2025-10-22,09:52:14,STATUS,CPU: 29.1%, RAM: 74.6%
2025-10-22,09:52:18,STATUS,CPU: 23.1%, RAM: 74.5%
2025-10-22,09:52:22,STATUS,CPU: 25.7%, RAM: 74.6%
2025-10-22,09:52:26,STATUS,CPU: 21.7%, RAM: 74.5%
2025-10-22,09:52:30,STATUS,CPU: 19.5%, RAM: 74.6%
2025-10-22,09:52:34,STATUS,CPU: 29.2%, RAM: 74.9%
2025-10-22,09:52:38,STATUS,CPU: 24.1%, RAM: 75.0%
2025-10-22,09:52:42,STATUS,CPU: 24.1%, RAM: 74.6%
2025-10-22,09:52:46,STATUS,CPU: 23.4%, RAM: 74.6%
2025-10-22,09:52:50,STATUS,CPU: 18.4%, RAM: 74.6%
2025-10-22,09:52:54,STATUS,CPU: 21.2%, RAM: 74.4%
2025-10-22,09:52:58,STATUS,CPU: 39.8%, RAM: 74.4%
2025-10-22,09:53:02,STATUS,CPU: 23.0%, RAM: 74.8%
2025-10-22,09:53:06,STATUS,CPU: 22.1%, RAM: 74.3%
2025-10-22,09:53:11,STATUS,CPU: 21.8%, RAM: 74.4%
2025-10-22,09:53:15,STATUS,CPU: 23.9%, RAM: 74.9%
2025-10-22,09:53:19,STATUS,CPU: 19.9%, RAM: 74.8%
2025-10-22,09:53:23,STATUS,CPU: 28.5%, RAM: 74.5%
2025-10-22,09:53:27,STATUS,CPU: 22.0%, RAM: 74.5%
2025-10-22,09:53:31,STATUS,CPU: 25.2%, RAM: 74.3%
2025-10-22,09:53:35,STATUS,CPU: 21.2%, RAM: 74.3%
2025-10-22,09:53:39,STATUS,CPU: 22.0%, RAM: 75.0%
2025-10-22,09:53:43,STATUS,CPU: 23.0%, RAM: 75.0%
2025-10-22,09:53:47,STATUS,CPU: 22.4%, RAM: 74.9%
2025-10-22,09:53:51,STATUS,CPU: 22.2%, RAM: 74.8%
2025-10-22,09:53:55,STATUS,CPU: 21.4%, RAM: 74.3%
2025-10-22,09:53:59,STATUS,CPU: 29.9%, RAM: 74.7%
2025-10-22,09:54:03,STATUS,CPU: 28.3%, RAM: 75.8%
2025-10-22,09:54:07,STATUS,CPU: 26.3%, RAM: 75.2%
2025-10-22,09:54:11,STATUS,CPU: 32.7%, RAM: 75.3%
2025-10-22,09:54:15,STATUS,CPU: 23.0%, RAM: 75.1%
2025-10-22,09:54:19,STATUS,CPU: 20.4%, RAM: 75.0%
2025-10-22,09:54:23,STATUS,CPU: 24.9%, RAM: 74.9%
2025-10-22,09:54:27,STATUS,CPU: 22.7%, RAM: 74.9%
2025-10-22,09:54:31,STATUS,CPU: 26.3%, RAM: 74.8%
2025-10-22,09:54:35,STATUS,CPU: 21.6%, RAM: 74.9%
2025-10-22,09:54:39,STATUS,CPU: 26.2%, RAM: 74.9%
2025-10-22,09:54:43,STATUS,CPU: 27.2%, RAM: 75.1%
2025-10-22,09:54:47,STATUS,CPU: 36.4%, RAM: 75.8%
2025-10-22,09:54:51,STATUS,CPU: 21.9%, RAM: 75.6%
2025-10-22,09:54:55,STATUS,CPU: 22.4%, RAM: 75.3%
2025-10-22,09:54:59,STATUS,CPU: 34.4%, RAM: 75.5%
2025-10-22,09:55:03,STATUS,CPU: 36.5%, RAM: 75.7%
2025-10-22,09:55:07,STATUS,CPU: 31.6%, RAM: 75.8%
2025-10-22,09:55:11,STATUS,CPU: 29.8%, RAM: 75.7%
2025-10-22,09:55:15,STATUS,CPU: 35.6%, RAM: 75.6%
2025-10-22,09:55:19,STATUS,CPU: 34.9%, RAM: 75.9%
2025-10-22,09:55:23,STATUS,CPU: 31.6%, RAM: 75.8%
2025-10-22,09:55:27,STATUS,CPU: 30.4%, RAM: 75.9%
2025-10-22,09:55:31,STATUS,CPU: 36.8%, RAM: 75.7%
2025-10-22,09:55:35,STATUS,CPU: 29.6%, RAM: 75.8%
2025-10-22,09:55:39,STATUS,CPU: 29.4%, RAM: 75.9%
2025-10-22,09:55:43,STATUS,CPU: 28.6%, RAM: 75.8%
2025-10-22,09:55:47,STATUS,CPU: 20.3%, RAM: 75.7%
2025-10-22,09:55:51,STATUS,CPU: 20.4%, RAM: 75.5%
2025-10-22,09:55:55,STATUS,CPU: 27.0%, RAM: 75.6%
2025-10-22,09:55:59,STATUS,CPU: 25.9%, RAM: 75.6%
2025-10-22,09:56:03,STATUS,CPU: 44.5%, RAM: 75.9%
2025-10-22,09:56:07,STATUS,CPU: 28.0%, RAM: 75.6%
2025-10-22,09:56:11,STATUS,CPU: 20.6%, RAM: 75.5%
2025-10-22,09:56:15,STATUS,CPU: 21.6%, RAM: 75.3%
2025-10-22,09:56:19,STATUS,CPU: 21.7%, RAM: 75.3%
2025-10-22,09:56:23,STATUS,CPU: 24.2%, RAM: 75.3%
2025-10-22,09:56:27,STATUS,CPU: 28.9%, RAM: 75.2%
2025-10-22,09:56:31,STATUS,CPU: 32.5%, RAM: 75.4%
2025-10-22,09:56:35,STATUS,CPU: 24.5%, RAM: 75.3%
2025-10-22,09:56:39,STATUS,CPU: 24.2%, RAM: 75.3%
2025-10-22,09:56:43,STATUS,CPU: 21.5%, RAM: 75.3%
2025-10-22,09:56:47,STATUS,CPU: 25.6%, RAM: 75.3%
2025-10-22,09:56:51,STATUS,CPU: 30.5%, RAM: 75.6%
2025-10-22,09:56:55,STATUS,CPU: 24.8%, RAM: 75.8%
2025-10-22,09:56:59,STATUS,CPU: 27.1%, RAM: 75.6%
2025-10-22,09:57:03,STATUS,CPU: 29.1%, RAM: 75.8%
2025-10-22,09:57:07,STATUS,CPU: 22.7%, RAM: 75.4%
2025-10-22,09:57:11,STATUS,CPU: 23.1%, RAM: 75.3%
2025-10-22,09:57:15,STATUS,CPU: 20.9%, RAM: 75.0%
2025-10-22,09:57:19,STATUS,CPU: 26.8%, RAM: 75.7%
2025-10-22,09:57:23,STATUS,CPU: 24.2%, RAM: 75.5%
2025-10-22,09:57:27,STATUS,CPU: 28.2%, RAM: 75.6%
2025-10-22,09:57:31,STATUS,CPU: 23.5%, RAM: 75.5%
2025-10-22,09:57:35,STATUS,CPU: 24.7%, RAM: 75.3%
2025-10-22,09:57:39,STATUS,CPU: 21.0%, RAM: 75.6%
2025-10-22,09:57:43,STATUS,CPU: 22.5%, RAM: 75.6%
2025-10-22,09:57:47,STATUS,CPU: 22.4%, RAM: 75.5%
2025-10-22,09:57:51,STATUS,CPU: 39.0%, RAM: 75.7%
2025-10-22,09:57:55,STATUS,CPU: 27.2%, RAM: 76.0%
2025-10-22,09:57:59,STATUS,CPU: 27.0%, RAM: 76.0%
2025-10-22,09:58:03,STATUS,CPU: 24.9%, RAM: 75.9%
2025-10-22,09:58:07,STATUS,CPU: 23.8%, RAM: 75.7%
2025-10-22,09:58:11,STATUS,CPU: 22.4%, RAM: 75.7%
2025-10-22,09:58:15,STATUS,CPU: 19.5%, RAM: 75.5%
2025-10-22,09:58:19,STATUS,CPU: 21.8%, RAM: 75.9%
2025-10-22,09:58:24,STATUS,CPU: 21.3%, RAM: 75.7%
