Date,Time,Level,Entry
2025-10-23,11:15:42,INFO,Logger initialized and ready.
2025-10-23,11:15:46,INPUT,User_Input_MenuChoice: 1
2025-10-23,11:15:46,INFO,Monitoring process started.
2025-10-23,11:15:47,STATUS,CPU: 6.0%, RAM: 72.7%
2025-10-23,11:15:50,INPUT,User_Input_MenuChoice: 2
2025-10-23,11:15:54,STATUS,CPU: 10.0%, RAM: 72.6%
2025-10-23,11:15:57,INPUT,User_Input_MenuChoice: 3
2025-10-23,11:16:01,STATUS,CPU: 5.0%, RAM: 72.7%
2025-10-23,11:16:08,STATUS,CPU: 5.2%, RAM: 72.7%
2025-10-23,11:16:15,STATUS,CPU: 4.8%, RAM: 73.1%
2025-10-23,11:16:22,STATUS,CPU: 10.3%, RAM: 73.1%
2025-10-23,11:16:29,STATUS,CPU: 15.1%, RAM: 73.0%
2025-10-23,11:16:36,STATUS,CPU: 14.0%, RAM: 72.8%
2025-10-23,11:16:43,STATUS,CPU: 14.3%, RAM: 72.9%
2025-10-23,11:16:50,STATUS,CPU: 9.0%, RAM: 73.1%
2025-10-23,11:16:57,STATUS,CPU: 7.5%, RAM: 72.6%
2025-10-23,11:17:04,STATUS,CPU: 9.8%, RAM: 73.0%
2025-10-23,11:17:11,STATUS,CPU: 7.5%, RAM: 73.1%
2025-10-23,11:17:18,STATUS,CPU: 4.0%, RAM: 73.2%
2025-10-23,11:17:21,INFO,Alarm created: CPU > 90.0% | WARNING! - High CPU usage
2025-10-23,11:17:25,STATUS,CPU: 9.2%, RAM: 73.2%
2025-10-23,11:17:27,INPUT,User_Input_MenuChoice: 4
2025-10-23,11:17:30,INPUT,User_Input_MenuChoice: 
2025-10-23,11:17:32,STATUS,CPU: 5.0%, RAM: 73.4%
2025-10-23,11:17:33,INPUT,User_Input_MenuChoice: 5
2025-10-23,11:17:39,STATUS,CPU: 7.7%, RAM: 73.3%
2025-10-23,11:17:46,STATUS,CPU: 3.2%, RAM: 73.4%
2025-10-23,11:17:47,INFO,Alarm removed: CPU > 90.0%
2025-10-23,11:17:51,INPUT,User_Input_MenuChoice: 5
