2025-10-23,20:49:39,MONITOR,CPU Usage: 7.2%, RAM Usage: 76.0%
2025-10-23,20:49:42,INPUT,User_Input_MenuChoice: 90
2025-10-23,20:49:45,MONITOR,CPU Usage: 15.4%, RAM Usage: 75.7%
2025-10-23,20:49:51,MONITOR,CPU Usage: 7.1%, RAM Usage: 74.6%
2025-10-23,20:49:57,MONITOR,CPU Usage: 4.7%, RAM Usage: 74.6%
2025-10-23,20:50:03,MONITOR,CPU Usage: 20.4%, RAM Usage: 75.9%
2025-10-23,20:50:10,MONITOR,CPU Usage: 16.4%, RAM Usage: 74.7%
2025-10-23,20:50:16,MONITOR,CPU Usage: 13.1%, RAM Usage: 72.8%
2025-10-23,20:50:22,MONITOR,CPU Usage: 8.4%, RAM Usage: 71.7%
2025-10-23,20:50:28,MONITOR,CPU Usage: 4.0%, RAM Usage: 71.8%
2025-10-23,20:50:34,MONITOR,CPU Usage: 4.5%, RAM Usage: 70.8%
2025-10-23,20:50:38,INPUT,User_Input_MenuChoice: 6
2025-10-23,20:50:40,MONITOR,CPU Usage: 12.5%, RAM Usage: 72.6%
2025-10-23,20:50:41,INPUT,User_Input_LogLines: 20
2025-10-23,20:50:46,MONITOR,CPU Usage: 16.7%, RAM Usage: 71.6%
2025-10-23,20:50:52,MONITOR,CPU Usage: 14.5%, RAM Usage: 71.6%
2025-10-23,20:50:58,MONITOR,CPU Usage: 14.6%, RAM Usage: 71.6%
2025-10-23,20:51:04,MONITOR,CPU Usage: 14.5%, RAM Usage: 72.2%
2025-10-23,20:51:10,MONITOR,CPU Usage: 10.3%, RAM Usage: 72.0%
2025-10-23,20:51:16,MONITOR,CPU Usage: 33.7%, RAM Usage: 71.9%
2025-10-23,20:51:22,MONITOR,CPU Usage: 19.3%, RAM Usage: 72.0%
2025-10-23,20:51:28,MONITOR,CPU Usage: 31.4%, RAM Usage: 74.8%
2025-10-23,20:51:34,MONITOR,CPU Usage: 6.5%, RAM Usage: 73.9%
2025-10-23,20:51:40,MONITOR,CPU Usage: 14.6%, RAM Usage: 73.8%
2025-10-23,20:51:46,MONITOR,CPU Usage: 34.7%, RAM Usage: 74.3%
2025-10-23,20:51:52,MONITOR,CPU Usage: 41.6%, RAM Usage: 74.1%
2025-10-23,20:51:58,MONITOR,CPU Usage: 17.2%, RAM Usage: 73.5%
2025-10-23,20:52:04,MONITOR,CPU Usage: 16.4%, RAM Usage: 73.1%
2025-10-23,20:52:10,MONITOR,CPU Usage: 45.1%, RAM Usage: 73.9%
2025-10-23,20:52:16,MONITOR,CPU Usage: 36.5%, RAM Usage: 72.7%
2025-10-23,20:52:22,MONITOR,CPU Usage: 43.8%, RAM Usage: 73.4%
2025-10-23,20:52:28,MONITOR,CPU Usage: 47.4%, RAM Usage: 73.9%
2025-10-23,20:52:34,MONITOR,CPU Usage: 26.4%, RAM Usage: 73.5%
2025-10-23,20:52:40,MONITOR,CPU Usage: 8.0%, RAM Usage: 72.9%
2025-10-23,20:52:46,MONITOR,CPU Usage: 23.9%, RAM Usage: 72.4%
2025-10-23,20:52:52,MONITOR,CPU Usage: 8.2%, RAM Usage: 73.0%
2025-10-23,20:52:58,MONITOR,CPU Usage: 6.0%, RAM Usage: 72.7%
2025-10-23,20:53:04,MONITOR,CPU Usage: 7.0%, RAM Usage: 72.6%
2025-10-23,20:53:10,MONITOR,CPU Usage: 5.0%, RAM Usage: 73.0%
2025-10-23,20:53:16,MONITOR,CPU Usage: 5.0%, RAM Usage: 72.7%
2025-10-23,20:53:22,MONITOR,CPU Usage: 20.7%, RAM Usage: 73.0%
2025-10-23,20:53:28,MONITOR,CPU Usage: 4.5%, RAM Usage: 73.0%
2025-10-23,20:53:34,MONITOR,CPU Usage: 4.7%, RAM Usage: 72.9%
2025-10-23,20:53:40,MONITOR,CPU Usage: 5.5%, RAM Usage: 73.1%
2025-10-23,20:53:46,MONITOR,CPU Usage: 19.7%, RAM Usage: 73.5%
2025-10-23,20:53:52,MONITOR,CPU Usage: 5.2%, RAM Usage: 73.2%
2025-10-23,20:53:58,MONITOR,CPU Usage: 17.8%, RAM Usage: 72.8%
2025-10-23,20:54:04,MONITOR,CPU Usage: 12.2%, RAM Usage: 73.1%
2025-10-23,20:54:10,MONITOR,CPU Usage: 5.3%, RAM Usage: 73.3%
2025-10-23,20:54:16,MONITOR,CPU Usage: 6.8%, RAM Usage: 73.0%
2025-10-23,20:54:22,MONITOR,CPU Usage: 3.3%, RAM Usage: 72.2%
2025-10-23,20:54:28,MONITOR,CPU Usage: 5.5%, RAM Usage: 72.0%
2025-10-23,20:54:34,MONITOR,CPU Usage: 15.5%, RAM Usage: 72.4%
2025-10-23,20:54:40,MONITOR,CPU Usage: 8.2%, RAM Usage: 72.5%
2025-10-23,20:54:46,MONITOR,CPU Usage: 6.5%, RAM Usage: 72.8%
2025-10-23,20:54:52,MONITOR,CPU Usage: 5.7%, RAM Usage: 73.0%
2025-10-23,20:54:58,MONITOR,CPU Usage: 4.3%, RAM Usage: 72.1%
2025-10-23,20:55:04,MONITOR,CPU Usage: 4.3%, RAM Usage: 72.1%
2025-10-23,20:55:10,MONITOR,CPU Usage: 8.5%, RAM Usage: 72.5%
2025-10-23,20:55:16,MONITOR,CPU Usage: 4.5%, RAM Usage: 72.5%
2025-10-23,20:55:22,MONITOR,CPU Usage: 4.7%, RAM Usage: 72.5%
2025-10-23,20:55:28,MONITOR,CPU Usage: 4.0%, RAM Usage: 72.5%
2025-10-23,20:55:34,MONITOR,CPU Usage: 5.0%, RAM Usage: 72.6%
2025-10-23,20:55:40,MONITOR,CPU Usage: 5.7%, RAM Usage: 72.5%
2025-10-23,20:55:46,MONITOR,CPU Usage: 5.2%, RAM Usage: 72.7%
2025-10-23,20:55:52,MONITOR,CPU Usage: 8.5%, RAM Usage: 72.5%
2025-10-23,20:55:58,MONITOR,CPU Usage: 5.8%, RAM Usage: 72.6%
2025-10-23,20:56:04,MONITOR,CPU Usage: 14.5%, RAM Usage: 72.8%
2025-10-23,20:56:10,MONITOR,CPU Usage: 14.2%, RAM Usage: 72.9%
2025-10-23,20:56:16,MONITOR,CPU Usage: 4.8%, RAM Usage: 72.9%
2025-10-23,20:56:22,MONITOR,CPU Usage: 4.5%, RAM Usage: 73.0%
2025-10-23,20:56:28,MONITOR,CPU Usage: 3.8%, RAM Usage: 72.0%
2025-10-23,20:56:34,MONITOR,CPU Usage: 8.5%, RAM Usage: 72.6%
2025-10-23,20:56:40,MONITOR,CPU Usage: 10.7%, RAM Usage: 72.1%
2025-10-23,20:56:46,MONITOR,CPU Usage: 4.0%, RAM Usage: 72.2%
2025-10-23,20:56:52,MONITOR,CPU Usage: 7.2%, RAM Usage: 72.0%
2025-10-23,20:56:58,MONITOR,CPU Usage: 5.0%, RAM Usage: 72.1%
2025-10-23,20:57:04,MONITOR,CPU Usage: 5.5%, RAM Usage: 72.1%
2025-10-23,20:57:10,MONITOR,CPU Usage: 4.8%, RAM Usage: 72.5%
2025-10-23,20:57:16,MONITOR,CPU Usage: 4.5%, RAM Usage: 72.5%
2025-10-23,20:57:22,MONITOR,CPU Usage: 4.2%, RAM Usage: 72.5%
2025-10-23,20:57:28,MONITOR,CPU Usage: 4.0%, RAM Usage: 72.5%
2025-10-23,20:57:34,MONITOR,CPU Usage: 4.0%, RAM Usage: 72.5%
