Date,Time,Level,Entry
2025-10-22,13:57:34,INFO,Logger initialized and ready.
2025-10-22,13:57:37,INPUT,User_Input_MenuChoice: 1
2025-10-22,13:57:37,INFO,Monitoring process started.
2025-10-22,13:57:38,STATUS,CPU: 4.8%, RAM: 75.2%
2025-10-22,13:57:40,INPUT,User_Input_MenuChoice: 2
2025-10-22,13:57:44,STATUS,CPU: 4.5%, RAM: 75.2%
2025-10-22,13:57:45,INPUT,User_Input_MenuChoice: 3
2025-10-22,13:57:50,STATUS,CPU: 3.7%, RAM: 75.3%
2025-10-22,13:57:56,STATUS,CPU: 6.0%, RAM: 75.2%
2025-10-22,13:58:02,STATUS,CPU: 5.0%, RAM: 75.6%
2025-10-22,13:58:08,STATUS,CPU: 4.2%, RAM: 75.6%
2025-10-22,13:58:14,STATUS,CPU: 15.9%, RAM: 75.8%
2025-10-22,13:58:20,STATUS,CPU: 7.0%, RAM: 75.8%
2025-10-22,13:58:26,STATUS,CPU: 5.5%, RAM: 75.8%
2025-10-22,13:58:30,INFO,Alarm created: CPU < 20.0% | Critical level of CPU usaage
2025-10-22,13:58:32,STATUS,CPU: 11.2%, RAM: 75.9%
2025-10-22,13:58:33,ALARM,ALARM TRIGGERED: CPU is 7.8% which is < 20.0% | Note: Critical level of CPU usaage
2025-10-22,13:58:37,INPUT,User_Input_MenuChoice: 4
2025-10-22,13:58:38,STATUS,CPU: 16.0%, RAM: 76.0%
2025-10-22,13:58:44,STATUS,CPU: 15.3%, RAM: 76.5%
2025-10-22,13:58:45,INFO,ALARM RESET: CPU is back to 22.5% | Note: Critical level of CPU usaage
2025-10-22,13:58:50,STATUS,CPU: 27.0%, RAM: 76.6%
2025-10-22,13:58:56,STATUS,CPU: 32.6%, RAM: 77.8%
2025-10-22,13:59:02,STATUS,CPU: 9.0%, RAM: 78.0%
2025-10-22,13:59:08,STATUS,CPU: 21.5%, RAM: 78.1%
2025-10-22,13:59:09,ALARM,ALARM TRIGGERED: CPU is 5.2% which is < 20.0% | Note: Critical level of CPU usaage
2025-10-22,13:59:14,STATUS,CPU: 13.1%, RAM: 78.0%
2025-10-22,13:59:15,INFO,ALARM RESET: CPU is back to 30.0% | Note: Critical level of CPU usaage
2025-10-22,13:59:20,STATUS,CPU: 7.5%, RAM: 79.2%
2025-10-22,13:59:26,STATUS,CPU: 30.7%, RAM: 73.9%
2025-10-22,13:59:32,STATUS,CPU: 5.2%, RAM: 74.0%
2025-10-22,13:59:33,ALARM,ALARM TRIGGERED: CPU is 3.5% which is < 20.0% | Note: Critical level of CPU usaage
2025-10-22,13:59:38,STATUS,CPU: 10.6%, RAM: 74.1%
2025-10-22,13:59:44,STATUS,CPU: 4.0%, RAM: 74.3%
2025-10-22,13:59:50,STATUS,CPU: 20.6%, RAM: 74.4%
2025-10-22,13:59:56,STATUS,CPU: 7.3%, RAM: 74.5%
2025-10-22,14:00:02,STATUS,CPU: 4.0%, RAM: 74.6%
2025-10-22,14:00:08,STATUS,CPU: 10.0%, RAM: 74.9%
2025-10-22,14:00:14,STATUS,CPU: 10.6%, RAM: 76.4%
2025-10-22,14:00:20,STATUS,CPU: 8.5%, RAM: 76.1%
2025-10-22,14:00:21,INFO,ALARM RESET: CPU is back to 38.5% | Note: Critical level of CPU usaage
2025-10-22,14:00:25,INPUT,User_Input_MenuChoice: 5
2025-10-22,14:00:26,STATUS,CPU: 6.0%, RAM: 76.2%
2025-10-22,14:00:27,ALARM,ALARM TRIGGERED: CPU is 10.1% which is < 20.0% | Note: Critical level of CPU usaage
2025-10-22,14:00:30,INFO,Alarm removed: CPU > 90.0%
2025-10-22,14:00:32,STATUS,CPU: 8.0%, RAM: 76.0%
2025-10-22,14:00:35,INPUT,User_Input_MenuChoice: 4
2025-10-22,14:00:38,STATUS,CPU: 7.2%, RAM: 75.8%
2025-10-22,14:00:40,INPUT,User_Input_MenuChoice: 5
2025-10-22,14:00:43,INFO,Alarm removed: CPU < 20.0%
2025-10-22,14:00:44,STATUS,CPU: 6.7%, RAM: 76.0%
2025-10-22,14:00:48,INPUT,User_Input_MenuChoice: 5
2025-10-22,14:00:50,STATUS,CPU: 10.0%, RAM: 76.0%
2025-10-22,14:00:55,INPUT,User_Input_MenuChoice: 5
2025-10-22,14:00:56,STATUS,CPU: 4.2%, RAM: 76.0%
2025-10-22,14:01:02,STATUS,CPU: 30.8%, RAM: 76.4%
2025-10-22,14:01:08,STATUS,CPU: 2.8%, RAM: 76.3%
2025-10-22,14:01:14,STATUS,CPU: 3.3%, RAM: 76.0%
2025-10-22,14:01:19,INPUT,User_Input_MenuChoice: 6
2025-10-22,14:01:20,STATUS,CPU: 5.5%, RAM: 76.1%
2025-10-22,14:01:23,INPUT,User_Input_LogLines: 10
2025-10-22,14:01:27,STATUS,CPU: 9.2%, RAM: 76.2%
2025-10-22,14:01:32,INPUT,User_Input_MenuChoice: 6
2025-10-22,14:01:33,STATUS,CPU: 3.8%, RAM: 76.3%
2025-10-22,14:01:39,STATUS,CPU: 5.5%, RAM: 76.3%
2025-10-22,14:01:39,INPUT,User_Input_LogLines: A
2025-10-22,14:01:45,STATUS,CPU: 5.0%, RAM: 76.4%
2025-10-22,14:01:51,STATUS,CPU: 14.0%, RAM: 76.5%
2025-10-22,14:01:57,STATUS,CPU: 23.1%, RAM: 78.5%
2025-10-22,14:02:03,STATUS,CPU: 52.5%, RAM: 76.8%
2025-10-22,14:02:09,STATUS,CPU: 46.3%, RAM: 76.8%
2025-10-22,14:02:15,STATUS,CPU: 24.9%, RAM: 77.2%
2025-10-22,14:02:21,STATUS,CPU: 50.4%, RAM: 78.2%
2025-10-22,14:02:27,STATUS,CPU: 28.1%, RAM: 78.4%
2025-10-22,14:02:33,STATUS,CPU: 9.8%, RAM: 77.5%
2025-10-22,14:02:39,STATUS,CPU: 10.9%, RAM: 77.1%
2025-10-22,14:02:45,STATUS,CPU: 6.3%, RAM: 76.7%
2025-10-22,14:02:51,STATUS,CPU: 81.3%, RAM: 78.3%
2025-10-22,14:02:57,STATUS,CPU: 14.6%, RAM: 72.8%
2025-10-22,14:03:03,STATUS,CPU: 15.3%, RAM: 73.0%
2025-10-22,14:03:09,STATUS,CPU: 9.0%, RAM: 73.0%
2025-10-22,14:03:15,STATUS,CPU: 10.7%, RAM: 73.6%
2025-10-22,14:03:21,STATUS,CPU: 9.1%, RAM: 73.6%
2025-10-22,14:03:27,STATUS,CPU: 11.5%, RAM: 74.0%
2025-10-22,14:03:33,STATUS,CPU: 11.1%, RAM: 74.6%
2025-10-22,14:03:39,STATUS,CPU: 12.5%, RAM: 74.7%
2025-10-22,14:03:45,STATUS,CPU: 9.0%, RAM: 74.7%
2025-10-22,14:03:51,STATUS,CPU: 9.5%, RAM: 74.4%
2025-10-22,14:03:57,STATUS,CPU: 19.1%, RAM: 74.5%
