Date,Time,Level,Entry
2025-10-23,13:17:24,INFO,Logger initialized and ready.
2025-10-23,13:17:27,INPUT,User_Input_MenuChoice: 1
2025-10-23,13:17:27,INFO,Monitoring process started.
2025-10-23,13:30:05,STATUS,CPU: 14.1%, RAM: 76.8%
2025-10-23,13:30:12,STATUS,CPU: 24.6%, RAM: 77.4%
2025-10-23,13:30:19,STATUS,CPU: 33.3%, RAM: 77.8%
2025-10-23,13:30:26,STATUS,CPU: 11.3%, RAM: 78.3%
2025-10-23,13:30:33,STATUS,CPU: 84.5%, RAM: 76.5%
2025-10-23,13:30:40,STATUS,CPU: 56.8%, RAM: 78.0%
2025-10-23,13:30:47,STATUS,CPU: 14.6%, RAM: 77.8%
2025-10-23,13:30:54,STATUS,CPU: 20.1%, RAM: 78.1%
2025-10-23,13:31:01,STATUS,CPU: 20.9%, RAM: 78.3%
2025-10-23,13:31:08,STATUS,CPU: 22.6%, RAM: 78.2%
2025-10-23,13:31:15,STATUS,CPU: 22.2%, RAM: 78.1%
2025-10-23,13:31:22,STATUS,CPU: 22.3%, RAM: 78.3%
2025-10-23,13:31:29,STATUS,CPU: 72.6%, RAM: 77.9%
2025-10-23,13:31:36,STATUS,CPU: 21.0%, RAM: 78.1%
2025-10-23,13:31:43,STATUS,CPU: 25.1%, RAM: 78.2%
2025-10-23,13:31:50,STATUS,CPU: 21.8%, RAM: 78.3%
2025-10-23,13:31:57,STATUS,CPU: 19.2%, RAM: 77.5%
2025-10-23,13:32:04,STATUS,CPU: 35.1%, RAM: 78.1%
2025-10-23,13:32:11,STATUS,CPU: 25.9%, RAM: 78.1%
2025-10-23,13:32:18,STATUS,CPU: 23.4%, RAM: 78.0%
2025-10-23,13:32:25,STATUS,CPU: 22.4%, RAM: 78.1%
2025-10-23,13:32:32,STATUS,CPU: 23.3%, RAM: 77.3%
2025-10-23,13:32:39,STATUS,CPU: 27.0%, RAM: 77.7%
2025-10-23,13:32:46,STATUS,CPU: 21.4%, RAM: 77.7%
2025-10-23,13:32:53,STATUS,CPU: 23.1%, RAM: 77.5%
2025-10-23,13:33:00,STATUS,CPU: 22.6%, RAM: 77.6%
2025-10-23,13:33:07,STATUS,CPU: 22.4%, RAM: 77.8%
2025-10-23,13:33:14,STATUS,CPU: 29.7%, RAM: 77.5%
2025-10-23,13:33:21,STATUS,CPU: 22.6%, RAM: 77.6%
2025-10-23,13:33:28,STATUS,CPU: 22.3%, RAM: 77.6%
2025-10-23,13:33:35,STATUS,CPU: 22.6%, RAM: 77.6%
2025-10-23,13:33:42,STATUS,CPU: 30.3%, RAM: 77.5%
2025-10-23,13:33:49,STATUS,CPU: 29.6%, RAM: 77.3%
2025-10-23,13:33:56,STATUS,CPU: 22.6%, RAM: 77.3%
2025-10-23,13:34:03,STATUS,CPU: 22.3%, RAM: 77.3%
2025-10-23,13:34:10,STATUS,CPU: 23.7%, RAM: 77.4%
2025-10-23,13:34:17,STATUS,CPU: 18.5%, RAM: 78.0%
2025-10-23,13:34:24,STATUS,CPU: 34.6%, RAM: 77.4%
2025-10-23,13:34:31,STATUS,CPU: 21.0%, RAM: 77.4%
2025-10-23,13:34:38,STATUS,CPU: 25.8%, RAM: 77.5%
