Date,Time,Level,Entry
2025-10-22,09:36:54,INFO,Logger initialized and ready.
2025-10-22,09:36:55,INPUT,User_Input_MenuChoice: 1
2025-10-22,09:36:55,INFO,Monitoring process started.
2025-10-22,09:36:56,STATUS,CPU: 10.0%, RAM: 69.6%
2025-10-22,09:37:00,STATUS,CPU: 5.0%, RAM: 69.7%
2025-10-22,09:37:01,INPUT,User_Input_MenuChoice: 2
2025-10-22,09:37:04,STATUS,CPU: 26.5%, RAM: 70.3%
2025-10-22,09:37:06,INPUT,User_Input_MenuChoice: 3
2025-10-22,09:37:08,STATUS,CPU: 2.5%, RAM: 69.9%
2025-10-22,09:37:12,STATUS,CPU: 8.0%, RAM: 71.5%
2025-10-22,09:37:16,STATUS,CPU: 13.0%, RAM: 71.7%
2025-10-22,09:37:20,STATUS,CPU: 5.3%, RAM: 71.7%
2025-10-22,09:37:24,STATUS,CPU: 4.2%, RAM: 71.7%
2025-10-22,09:37:28,STATUS,CPU: 5.8%, RAM: 71.4%
2025-10-22,09:37:32,STATUS,CPU: 28.4%, RAM: 71.6%
2025-10-22,09:37:36,STATUS,CPU: 7.4%, RAM: 71.4%
2025-10-22,09:37:40,STATUS,CPU: 3.5%, RAM: 71.2%
2025-10-22,09:37:44,STATUS,CPU: 27.3%, RAM: 71.9%
2025-10-22,09:37:48,STATUS,CPU: 7.2%, RAM: 71.5%
2025-10-22,09:37:53,STATUS,CPU: 16.0%, RAM: 71.5%
2025-10-22,09:37:57,STATUS,CPU: 9.3%, RAM: 71.5%
2025-10-22,09:37:58,INFO,Alarm created: CPU < 25.0% | critical status on CPU usage
2025-10-22,09:38:01,STATUS,CPU: 30.1%, RAM: 72.0%
2025-10-22,09:38:02,ALARM,ALARM TRIGGERED: CPU is 22.7% which is < 25.0% | Note: critical status on CPU usage
2025-10-22,09:38:04,INPUT,User_Input_MenuChoice: 3
2025-10-22,09:38:05,STATUS,CPU: 6.5%, RAM: 71.7%
2025-10-22,09:38:09,STATUS,CPU: 10.3%, RAM: 71.3%
2025-10-22,09:38:13,STATUS,CPU: 7.0%, RAM: 71.4%
2025-10-22,09:38:17,STATUS,CPU: 23.1%, RAM: 71.4%
2025-10-22,09:38:21,STATUS,CPU: 2.5%, RAM: 71.5%
2025-10-22,09:38:25,STATUS,CPU: 16.7%, RAM: 71.5%
2025-10-22,09:38:29,STATUS,CPU: 3.0%, RAM: 71.6%
2025-10-22,09:38:33,STATUS,CPU: 11.0%, RAM: 71.6%
2025-10-22,09:38:37,STATUS,CPU: 9.8%, RAM: 71.7%
2025-10-22,09:38:41,STATUS,CPU: 10.7%, RAM: 71.7%
2025-10-22,09:38:45,STATUS,CPU: 7.0%, RAM: 71.7%
2025-10-22,09:38:49,STATUS,CPU: 5.7%, RAM: 71.7%
2025-10-22,09:38:51,INFO,Alarm created: RAM > 95.0% | critical status of DISK usage
2025-10-22,09:38:53,STATUS,CPU: 9.5%, RAM: 71.7%
2025-10-22,09:38:57,INPUT,User_Input_MenuChoice: 4
2025-10-22,09:38:57,STATUS,CPU: 7.3%, RAM: 71.7%
2025-10-22,09:39:01,STATUS,CPU: 5.5%, RAM: 71.7%
2025-10-22,09:39:02,INPUT,User_Input_MenuChoice: 5
2025-10-22,09:39:05,STATUS,CPU: 4.7%, RAM: 71.7%
2025-10-22,09:39:09,STATUS,CPU: 3.3%, RAM: 71.7%
2025-10-22,09:39:13,STATUS,CPU: 7.5%, RAM: 71.8%
2025-10-22,09:39:15,INPUT,User_Input_MenuChoice: 6
2025-10-22,09:39:17,STATUS,CPU: 5.3%, RAM: 71.8%
2025-10-22,09:39:21,STATUS,CPU: 6.5%, RAM: 71.8%
2025-10-22,09:39:21,INPUT,User_Input_LogLines: 30
