Date,Time,Level,Entry
2025-10-23,13:04:58,INFO,Logger initialized and ready.
2025-10-23,13:05:03,INPUT,User_Input_MenuChoice: 1
2025-10-23,13:05:03,INFO,Monitoring process started.
2025-10-23,13:05:04,STATUS,CPU: 11.5%, RAM: 76.0%
2025-10-23,13:05:11,STATUS,CPU: 40.9%, RAM: 71.2%
2025-10-23,13:05:18,STATUS,CPU: 9.3%, RAM: 71.3%
2025-10-23,13:05:25,STATUS,CPU: 17.0%, RAM: 71.8%
2025-10-23,13:05:32,STATUS,CPU: 30.1%, RAM: 72.2%
2025-10-23,13:05:39,STATUS,CPU: 29.5%, RAM: 72.4%
2025-10-23,13:05:46,STATUS,CPU: 8.2%, RAM: 72.2%
2025-10-23,13:05:47,INPUT,User_Input_MenuChoice: 7
2025-10-23,13:05:47,INFO,Monitoring process stopped.
