2025-10-23,17:07:57,MONITOR,CPU Usage: 15.5%, RAM Usage: 75.5%
2025-10-23,17:08:03,MONITOR,CPU Usage: 4.0%, RAM Usage: 75.8%
2025-10-23,17:08:09,MONITOR,CPU Usage: 4.0%, RAM Usage: 75.8%
2025-10-23,17:08:15,MONITOR,CPU Usage: 5.7%, RAM Usage: 76.6%
2025-10-23,17:08:21,MONITOR,CPU Usage: 4.0%, RAM Usage: 76.2%
2025-10-23,17:08:27,MONITOR,CPU Usage: 29.5%, RAM Usage: 76.2%
2025-10-23,17:08:33,MONITOR,CPU Usage: 3.3%, RAM Usage: 76.2%
2025-10-23,17:08:39,MONITOR,CPU Usage: 18.6%, RAM Usage: 76.9%
2025-10-23,17:08:45,MONITOR,CPU Usage: 14.5%, RAM Usage: 78.1%
2025-10-23,17:08:47,INPUT,User_Input_MenuChoice: 1
2025-10-23,17:08:51,MONITOR,CPU Usage: 9.0%, RAM Usage: 77.5%
2025-10-23,17:08:53,INPUT,User_Input_MenuChoice: 2
2025-10-23,17:08:57,MONITOR,CPU Usage: 30.0%, RAM Usage: 76.5%
2025-10-23,17:09:03,MONITOR,CPU Usage: 7.3%, RAM Usage: 76.7%
2025-10-23,17:09:03,INPUT,User_Input_MenuChoice: 3
2025-10-23,17:09:09,MONITOR,CPU Usage: 4.5%, RAM Usage: 76.7%
2025-10-23,17:09:15,MONITOR,CPU Usage: 4.8%, RAM Usage: 76.7%
2025-10-23,17:09:21,MONITOR,CPU Usage: 2.7%, RAM Usage: 76.9%
2025-10-23,17:09:27,MONITOR,CPU Usage: 4.0%, RAM Usage: 77.1%
2025-10-23,17:09:33,MONITOR,CPU Usage: 4.2%, RAM Usage: 77.1%
2025-10-23,17:09:39,MONITOR,CPU Usage: 4.7%, RAM Usage: 77.2%
2025-10-23,17:09:45,MONITOR,CPU Usage: 11.8%, RAM Usage: 77.3%
2025-10-23,17:09:51,MONITOR,CPU Usage: 20.2%, RAM Usage: 77.1%
2025-10-23,17:09:57,MONITOR,CPU Usage: 3.0%, RAM Usage: 77.2%
2025-10-23,17:10:03,MONITOR,CPU Usage: 7.0%, RAM Usage: 76.5%
2025-10-23,17:10:09,MONITOR,CPU Usage: 2.8%, RAM Usage: 76.7%
2025-10-23,17:10:15,MONITOR,CPU Usage: 9.0%, RAM Usage: 76.8%
2025-10-23,17:10:21,MONITOR,CPU Usage: 4.3%, RAM Usage: 76.9%
2025-10-23,17:10:24,INPUT,User_Input_AlarmName: High Disk Usage
2025-10-23,17:10:27,MONITOR,CPU Usage: 3.8%, RAM Usage: 77.0%
2025-10-23,17:10:33,MONITOR,CPU Usage: 23.3%, RAM Usage: 77.2%
2025-10-23,17:10:39,MONITOR,CPU Usage: 3.8%, RAM Usage: 78.2%
2025-10-23,17:10:45,MONITOR,CPU Usage: 13.3%, RAM Usage: 77.1%
2025-10-23,17:10:51,MONITOR,CPU Usage: 15.8%, RAM Usage: 77.3%
2025-10-23,17:10:57,MONITOR,CPU Usage: 11.5%, RAM Usage: 77.3%
2025-10-23,17:11:03,MONITOR,CPU Usage: 3.2%, RAM Usage: 77.1%
2025-10-23,17:11:09,MONITOR,CPU Usage: 15.4%, RAM Usage: 77.2%
2025-10-23,17:11:15,MONITOR,CPU Usage: 21.1%, RAM Usage: 77.3%
2025-10-23,17:11:21,MONITOR,CPU Usage: 10.5%, RAM Usage: 77.3%
2025-10-23,17:11:27,MONITOR,CPU Usage: 8.0%, RAM Usage: 77.4%
2025-10-23,17:11:33,MONITOR,CPU Usage: 24.4%, RAM Usage: 76.7%
2025-10-23,17:11:39,MONITOR,CPU Usage: 26.6%, RAM Usage: 76.2%
2025-10-23,17:11:45,MONITOR,CPU Usage: 32.8%, RAM Usage: 77.2%
2025-10-23,17:11:51,MONITOR,CPU Usage: 4.5%, RAM Usage: 76.8%
2025-10-23,17:11:57,MONITOR,CPU Usage: 14.8%, RAM Usage: 76.9%
2025-10-23,17:12:03,MONITOR,CPU Usage: 15.0%, RAM Usage: 76.3%
2025-10-23,17:12:09,MONITOR,CPU Usage: 2.8%, RAM Usage: 75.7%
2025-10-23,17:12:15,MONITOR,CPU Usage: 9.3%, RAM Usage: 76.1%
2025-10-23,17:12:21,MONITOR,CPU Usage: 25.3%, RAM Usage: 75.9%
2025-10-23,17:12:27,MONITOR,CPU Usage: 15.6%, RAM Usage: 76.2%
2025-10-23,17:12:34,MONITOR,CPU Usage: 5.8%, RAM Usage: 75.5%
2025-10-23,17:12:40,MONITOR,CPU Usage: 17.9%, RAM Usage: 75.4%
2025-10-23,17:12:46,MONITOR,CPU Usage: 18.0%, RAM Usage: 75.4%
2025-10-23,17:12:52,MONITOR,CPU Usage: 10.8%, RAM Usage: 75.8%
2025-10-23,17:12:58,MONITOR,CPU Usage: 4.8%, RAM Usage: 75.4%
2025-10-23,17:13:04,MONITOR,CPU Usage: 14.9%, RAM Usage: 75.7%
2025-10-23,17:13:10,MONITOR,CPU Usage: 48.5%, RAM Usage: 76.1%
2025-10-23,17:13:16,MONITOR,CPU Usage: 17.5%, RAM Usage: 76.4%
2025-10-23,17:13:22,MONITOR,CPU Usage: 68.8%, RAM Usage: 78.5%
2025-10-23,17:13:28,MONITOR,CPU Usage: 18.6%, RAM Usage: 76.7%
2025-10-23,17:13:34,MONITOR,CPU Usage: 62.3%, RAM Usage: 79.8%
2025-10-23,17:13:40,MONITOR,CPU Usage: 54.7%, RAM Usage: 80.5%
2025-10-23,17:13:46,MONITOR,CPU Usage: 36.8%, RAM Usage: 77.9%
2025-10-23,17:13:52,MONITOR,CPU Usage: 29.8%, RAM Usage: 75.3%
2025-10-23,17:13:58,MONITOR,CPU Usage: 19.3%, RAM Usage: 76.7%
2025-10-23,17:14:04,MONITOR,CPU Usage: 60.6%, RAM Usage: 80.0%
2025-10-23,17:14:10,MONITOR,CPU Usage: 13.3%, RAM Usage: 78.2%
2025-10-23,17:14:16,MONITOR,CPU Usage: 46.0%, RAM Usage: 79.1%
2025-10-23,17:14:22,MONITOR,CPU Usage: 18.5%, RAM Usage: 77.3%
2025-10-23,17:14:28,MONITOR,CPU Usage: 20.8%, RAM Usage: 76.2%
2025-10-23,17:14:34,MONITOR,CPU Usage: 34.0%, RAM Usage: 74.5%
2025-10-23,17:14:40,MONITOR,CPU Usage: 30.6%, RAM Usage: 76.1%
2025-10-23,17:14:46,MONITOR,CPU Usage: 36.6%, RAM Usage: 76.3%
2025-10-23,17:14:52,MONITOR,CPU Usage: 32.0%, RAM Usage: 75.0%
