Date,Time,Level,Entry
2025-10-22,09:29:48,INFO,Logger initialized and ready.
2025-10-22,09:29:50,INPUT,User_Input_MenuChoice: 1
2025-10-22,09:29:50,INFO,Monitoring process started.
2025-10-22,09:29:51,STATUS,CPU: 10.4%, RAM: 77.0%
2025-10-22,09:29:54,INPUT,User_Input_MenuChoice: 2
2025-10-22,09:29:55,STATUS,CPU: 13.1%, RAM: 77.1%
2025-10-22,09:29:59,STATUS,CPU: 34.4%, RAM: 77.1%
2025-10-22,09:30:01,INPUT,User_Input_MenuChoice: 3
2025-10-22,09:30:03,STATUS,CPU: 4.0%, RAM: 77.1%
2025-10-22,09:30:07,STATUS,CPU: 3.2%, RAM: 76.8%
2025-10-22,09:30:11,STATUS,CPU: 11.3%, RAM: 76.7%
2025-10-22,09:30:15,STATUS,CPU: 7.3%, RAM: 76.9%
2025-10-22,09:30:19,STATUS,CPU: 12.9%, RAM: 76.9%
2025-10-22,09:30:23,STATUS,CPU: 30.2%, RAM: 76.8%
2025-10-22,09:30:27,INFO,Alarm created: RAM > 90.0% | Kritisk läge
2025-10-22,09:30:27,STATUS,CPU: 7.5%, RAM: 76.5%
2025-10-22,09:30:30,INPUT,User_Input_MenuChoice: 4
2025-10-22,09:30:31,STATUS,CPU: 13.2%, RAM: 76.6%
2025-10-22,09:30:35,STATUS,CPU: 8.2%, RAM: 76.6%
2025-10-22,09:30:40,STATUS,CPU: 26.8%, RAM: 77.3%
2025-10-22,09:30:44,STATUS,CPU: 28.6%, RAM: 78.0%
2025-10-22,09:30:48,STATUS,CPU: 18.3%, RAM: 78.2%
2025-10-22,09:30:52,STATUS,CPU: 24.0%, RAM: 77.9%
2025-10-22,09:30:56,STATUS,CPU: 18.9%, RAM: 75.9%
2025-10-22,09:31:00,STATUS,CPU: 23.9%, RAM: 77.8%
2025-10-22,09:31:04,STATUS,CPU: 27.1%, RAM: 77.0%
2025-10-22,09:31:08,STATUS,CPU: 44.1%, RAM: 75.0%
2025-10-22,09:31:12,STATUS,CPU: 26.3%, RAM: 74.8%
2025-10-22,09:31:16,STATUS,CPU: 51.3%, RAM: 75.9%
2025-10-22,09:31:20,STATUS,CPU: 25.8%, RAM: 75.5%
2025-10-22,09:31:24,STATUS,CPU: 10.7%, RAM: 75.2%
2025-10-22,09:31:28,STATUS,CPU: 10.7%, RAM: 74.7%
2025-10-22,09:31:32,STATUS,CPU: 13.6%, RAM: 75.1%
2025-10-22,09:31:36,STATUS,CPU: 15.7%, RAM: 75.3%
2025-10-22,09:31:40,STATUS,CPU: 24.4%, RAM: 75.0%
2025-10-22,09:31:44,STATUS,CPU: 25.0%, RAM: 75.0%
2025-10-22,09:31:48,STATUS,CPU: 27.5%, RAM: 75.1%
2025-10-22,09:31:52,STATUS,CPU: 32.0%, RAM: 73.3%
2025-10-22,09:31:56,STATUS,CPU: 11.3%, RAM: 72.4%
2025-10-22,09:32:00,STATUS,CPU: 42.5%, RAM: 72.9%
2025-10-22,09:32:04,STATUS,CPU: 24.3%, RAM: 72.6%
2025-10-22,09:32:08,STATUS,CPU: 29.1%, RAM: 72.6%
2025-10-22,09:32:12,STATUS,CPU: 19.1%, RAM: 72.8%
